fTable2 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 31402 15866 50296 8026 -56884 34104 -20104 41300 63359 -64266 46363 27884 -7684 25094 59229 14657 -2974 26250 -15523 -15305
r1 40526 -8865 -32153 -41233 12396 -18212 18579 42365 -50479 35513 46665 -893 -8549 27568 38937 -45722 7096 -8989 -23669 64673
r2 9238 42399 63958 -37197 30268 43492 -13415 -34855 60372 -57793 59804 -61684 45690 40725 -28014 62632 15923 21979 -54688 5329
r3 21491 -12676 50534 5182 31102 -1413 -38591 -3258 -6176 32729 -61442 57803 -25935 -18539 -57738 7666 45111 -19773 27722 26729
r4 42681 -3107 -27960 -60788 -41604 -15824 22056 16709 49655 -4384 42922 -34379 -60716 -26967 -26782 -27174 -22840 32292 -50388 -64158
r5 -62092 -36808 -30210 -58320 3850 -47465 -26474 -23821 -27202 -34628 63564 -56771 14812 19762 25761 47696 -49102 60268 47189 -22345
r6 21839 22132 65522 -56495 15558 47417 -5588 -42471 35222 -57339 514 -21327 37747 -42434 17786 14040 -17777 -37242 -22916 -12613
r7 8908 27965 54792 15321 62710 24064 -4938 -4358 20553 -22974 44850 -28473 2300 -26584 47457 15434 58071 65227 29240 -2654
r8 9782 34298 65200 -36081 -2722 -21166 50113 -1998 -59413 18805 -7129 -21141 16707 17940 19449 -12733 14661 19495 -31418 40747
r9 5257 -49907 854 -14355 14635 -420 -56926 26319 -34014 33893 7947 30713 -18470 38563 11167 -21386 45971 -324 32795 58067
r10 -17201 8378 16216 44366 14457 33268 58042 51166 -23027 -55007 -14811 45252 -38603 -25973 -60706 2187 -34380 -20645 -16253 -26250
r11 -47643 55195 -46492 22862 -39025 51593 29104 4521 19921 -33785 50804 35058 -18829 12376 44963 -17477 42785 8208 -2117 -25302
r12 22559 -50309 4570 27942 -54803 -2377 -27175 65403 -48742 -20817 -18004 -19690 -904 52154 -56317 -2762 56465 -31930 -42431 62359
r13 10029 -1027 5892 -50790 12496 43091 -52049 21244 -48499 8405 -32089 -49915 34940 -44788 -6007 -12376 -30888 -62866 17645 41542
r14 -44642 -53237 -43084 47553 15068 323 -47632 3995 -1144 38845 30337 -59229 30143 -45416 -52324 30755 -65325 -58672 19008 55262
r15 -521 65293 -63404 870 17215 20491 -45051 23188 19756 -46828 -4807 7095 39780 -9795 20071 -60360 -26254 -25460 -35043 -19192
r16 26297 11835 -41953 17711 22905 -48795 -25968 -20318 -25225 -56752 -47381 -27796 -7370 16603 -27854 28667 60174 -31608 -33145 -33908
r17 25398 51303 35786 50055 -53152 -16536 24563 22170 -33028 5929 8072 -41835 35815 -63227 -29227 -32354 39290 -8104 3945 10220
r18 -2380 -25026 -7865 55925 26643 -57751 62641 26739 41720 -51947 2803 -28132 17150 -15270 30523 52699 55495 63723 -7154 20861
r19 46846 -58312 -46647 15352 -53086 60194 -3030 51555 -21178 55720 -7095 -36850 55209 -35427 48488 -5747 -26657 -39151 -51303 30509
r20 29442 -39435 54858 -9682 16759 29351 11503 -44907 -21312 -45548 13357 42836 -19972 3628 63239 -2994 15882 -27070 17699 20057
r21 41192 -35488 36686 -3286 -20993 -18093 -45807 -2728 -19112 26163 -62418 -64550 61548 -16660 14251 -20264 13240 36559 -45333 -7775
r22 -59869 -25879 -46930 -20700 48979 -15261 -44315 -12322 -60335 42284 -16179 59915 30955 -35641 26526 -23319 18372 -5353 -8291 40472
r23 41760 -17388 22969 -60342 32931 5591 53975 50067 -61857 -36662 9300 58098 62381 -64928 -9108 44530 -32069 -32480 3513 27789
r24 -25019 -5184 -37428 50148 -47529 57590 49114 -38819 -30909 62 30791 -34487 -58799 43845 -25831 54086 55822 -55906 -65153 39749
r25 33484 2599 -60980 -14671 36442 2764 -46419 43244 -62066 -56789 -24035 39521 32050 -16503 -58662 -4076 4461 28560 23574 13924
r26 -53356 1682 61405 17167 42263 49109 44066 45992 -64628 2264 29637 24340 -15954 54848 -10811 -56999 -11772 -61791 59161 -32409
r27 54859 51579 43891 56329 5504 -5006 -30805 -57440 -63449 -22951 371 11002 10912 3968 19096 36483 -48402 62775 9584 21341
r28 -41403 -7580 61965 8245 -24493 -64699 -28367 -979 2161 -15973 21863 24209 64926 14655 12311 32257 -4533 34428 52857 -10840
r29 21348 34897 22712 -39935 60233 -49810 -20178 18588 35875 47499 -34098 -52345 -1985 -26799 -64531 -24485 15759 -42036 -6938 22130
r30 -25550 23664 -59360 -28771 -19504 5134 -1214 -45384 -47634 912 -16238 37987 -55224 4400 -7635 12158 -5348 5554 -13185 49961
r31 48398 39016 -24592 46522 32798 -63862 55973 30944 49354 -55481 -31442 -2612 40118 58139 38387 -19849 -48450 3936 5313 -51296
r32 35636 3913 2646 -59330 60191 -3551 -39551 -25021 -55258 -10706 55896 -61504 39334 -54725 -11054 -45371 33982 64666 14251 65306
r33 9759 30310 24985 -50697 -24495 28166 28696 -37275 34611 -24070 -9996 -64629 50808 -43836 -30205 -19059 -18064 -59682 -3680 -17532
r34 8963 21767 -31709 -56056 -52311 -35380 -56018 57227 4449 62476 18034 -47912 9409 10504 -9778 -42286 -63045 -3075 -60465 -7309
r35 39486 -4420 -40399 -20059 55210 -54695 -36351 -7508 42728 11015 41245 4769 4313 -17497 -25074 64925 44625 -15814 935 -9612
r36 -14320 -10508 4056 -44570 -9215 17473 43421 15455 -45731 -2488 -56107 -6366 -14331 -44850 12693 16562 -61273 -54844 62917 57778
r37 54091 46590 -28715 -43790 32333 60720 53702 -31999 -55933 61032 -21939 -33818 34582 14174 61087 -21487 42506 -31564 -60246 -40366
r38 -35001 56394 -24613 45184 -50199 -34729 15915 -6610 -53971 -47373 -24368 -46768 -63371 39441 52644 -27042 36387 31236 39907 -34324
r39 25040 48183 -9422 -13778 4200 -31263 -8981 25292 -37999 35062 -48656 -10332 -55683 -48247 9398 38311 -59728 -51898 -40612 -63822
r40 64134 -1306 31433 60844 -37185 -5913 -51782 59598 46558 -1408 62512 20262 -50594 -51952 31419 1935 38628 58850 41976 -33818
r41 -43822 -5778 14007 -10333 -24487 -6427 33285 8248 -63931 -25371 -61985 -17251 25714 -41233 -419 -42065 65300 -22763 5415 22061
r42 48775 -37372 -43193 -26938 -36490 10156 6434 41672 40692 -11633 -38259 -8476 52511 -2941 12378 29396 13850 41430 58844 59810
r43 56372 47252 50578 -46400 56553 34296 6931 -49853 29757 1329 37757 13601 63365 4175 -20644 -15358 40187 -45379 32239 35228
r44 40442 51823 -43723 13366 58363 30049 9034 -36195 13736 36629 -12784 2663 22318 63715 -13190 51166 -49418 -17406 -38962 -17132
r45 -52959 38743 24519 -62906 -14843 -34352 18467 -40794 55991 42826 -53693 53365 -63921 -20725 58696 -29721 19109 33185 -35870 -1733
r46 25965 29495 36165 28356 -26213 -14113 -24749 7470 13122 -62450 31139 10894 1758 29261 -22007 -34983 51215 -2654 -59723 -28718
