fTable1 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 -63974 -31084 -59811 -37895 22460 -65075 43521 32525 21638 -23287 49073 -13660 19463 -59056 28026 -27449 56076 -45953 -12438 -30961
r1 36406 -30510 59913 -25775 -63104 13010 28819 9508 -22584 38627 -32777 -52416 -19868 61874 54498 52206 17511 -20296 18142 -58799
r2 59733 -22897 -27013 11164 49268 22677 49984 39922 15969 -44651 -459 -6336 30062 61708 27361 54730 -4876 -32987 38100 -16322
r3 60409 -65352 -15653 -60835 -21655 -8620 -40755 -53661 -61238 62794 -48341 44862 1639 31727 -58915 42912 -57602 -15041 8073 -21173
r4 1737 -26792 -60657 23098 -17635 22185 -28500 53267 35631 -994 -1971 -43518 -64558 -39483 -16297 13692 37333 -63766 25457 11593
r5 -43088 -48123 54377 -2294 62168 -3045 -9732 -62191 20019 54887 -43439 33485 -25084 35633 49551 28189 39200 14195 -32808 -46778
r6 -40682 26545 -47316 -23607 27349 -26035 57927 27295 29447 -12459 13346 -46798 52221 3139 -15731 8229 -4382 -57287 17106 -12685
r7 43535 54384 -49747 -54428 28746 -51983 63084 -2519 -33677 9099 53475 8839 -27539 45949 26941 -15160 22370 -61297 59894 26264
r8 -48966 -59398 26413 41656 -40773 -63519 54624 13931 6918 65328 26768 -59959 -31256 61956 9902 35241 63249 46119 -59240 17535
r9 -32453 58824 3273 -32167 -11641 -60017 -15918 65490 -55348 23704 47628 18525 52466 5014 -5250 404 -51494 13069 -9454 23360
r10 -39081 -31995 -33022 17827 20238 -48270 -22595 6460 -78 24678 -55940 -33255 -55552 27120 -45898 -57081 -30903 16151 -35039 -39319
r11 25462 27784 8529 -27759 41567 -40850 20102 42521 -53573 11385 780 1680 -7506 47598 -2489 -45222 -28545 214 24086 -16319
r12 24599 -27212 -31188 -11394 7034 -64674 -40037 -2772 38378 -10715 -1870 40884 -49368 -63930 14746 59055 -27270 40672 -56745 19116
r13 -6344 50729 -39495 1819 40551 61338 33546 -53464 -26924 -17246 -25828 -27413 51487 -59088 -30289 -46604 -18881 -38351 -47008 3904
r14 45496 -31387 33830 -2412 -16737 -8593 -20726 35756 -30349 49032 -7690 -4186 -11332 853 -31750 37035 59226 -26267 -47755 60807
r15 -3464 32675 -62939 -26637 -64631 -103 -16601 36743 -5661 55728 -20811 -63562 14107 -7993 56322 -36527 -42871 28439 48773 40082
r16 -36096 -15545 43956 26206 31555 20789 -58466 49841 -20036 42647 -15913 -27089 41446 62051 3708 -130 49203 -26567 14727 -45881
r17 -49068 -12300 16027 -37380 25850 3212 -15221 17016 -14587 54635 -33308 50569 34100 54291 -42754 -35991 44476 39364 16777 -28443
r18 -49029 -36 38101 -34303 43336 -30403 -802 -30238 43557 31874 -50648 51309 20889 -51815 -6057 -29299 -62703 -52219 -58113 19514
r19 -32022 41134 12229 6281 7311 21308 -63806 26691 3805 22719 17242 -16628 -31266 44421 38498 3272 -64966 15123 -27439 30248
r20 20354 25412 -56806 24974 6759 -48182 60759 547 24425 -35496 -23872 -3147 -2259 65197 -5820 11939 58560 47966 -45050 -19149
r21 -41893 -31151 -9753 32267 28420 -46146 29559 -55433 -38398 -4501 -5755 28640 65132 36491 36294 5634 22199 -33378 -49695 -62505
r22 -23257 3631 55704 5122 42960 138 -41647 -40911 34135 -50806 17414 48504 64656 -52696 -51327 -17616 13709 39927 6737 38105
r23 -62999 -49266 48234 -14779 42536 -55847 -22879 -63948 -20525 -40302 -5703 -50475 -18742 -10380 61879 15834 -62303 26495 54041 -46760
r24 -18573 -45053 -33210 28737 19641 -12185 58721 -10843 9084 41715 -598 -11488 35086 -18531 -4195 6545 36316 13448 54342 -15729
r25 -24385 16163 -2180 5168 -14687 -33924 47623 57989 54405 -27584 -7828 42466 -59119 43369 62818 -37180 -11285 -10321 -62025 -24178
r26 64653 -46344 10329 17037 -55541 -61854 -9038 21925 50592 38289 -63355 -42626 24872 13487 -53621 49005 64515 17691 25188 35012
r27 -37425 -1120 -64269 5535 -51019 24417 -41998 61001 -30862 -8323 28156 -54520 6100 -32496 -20095 -30693 54116 -23565 -34922 -12742
r28 25050 -46775 11232 -19701 11056 51169 55304 55297 58632 -62303 32907 31204 2426 55434 -32277 -10527 44925 -52193 30556 -43973
r29 1293 -64291 1600 64003 -37984 63732 40211 -50293 -8068 9741 -56963 59927 -8400 -59302 -3669 -58116 37676 -29496 -24590 -57288
r30 33633 -49446 -52109 -54903 54365 6688 17621 -4799 29158 56119 36510 42614 -31979 -14557 -36896 -58758 22768 -1313 34051 -46800
r31 40756 3438 14989 48538 57341 -56964 7654 -14207 -22721 56680 -27336 31605 54548 -40148 21217 11958 33487 -41655 18233 -6920
r32 -48081 40494 -48679 -25432 -16904 29586 -53426 -38153 23005 -63014 8991 15390 3424 -6814 46380 -48881 -29234 -14553 -31645 28188
r33 5600 48626 49626 -51562 -56405 51854 43267 28849 38311 59893 12899 51005 -31756 -1990 -38772 -50288 -28397 -38749 12877 54845
r34 30717 -61632 28489 38651 63492 -55241 -5168 -21287 24759 56600 -55771 43036 51533 -21550 17128 37119 -25925 15226 62845 62028
r35 -8677 18228 -16583 34133 57477 18663 64062 88 29332 44024 27545 25889 11936 -61401 -21333 22855 16568 -26511 25923 -24408
r36 -180 -49547 22357 -53704 15573 -51590 -41742 -20589 -49296 -5147 -36172 -1702 52649 -21603 -29246 -45481 -31125 50948 -18512 12422
r37 -41274 -27068 -54051 -43652 7532 -37704 -17535 22904 31814 -29755 -34732 64886 -26910 55215 55820 -21050 63400 -14378 -36246 413
r38 -35679 41686 -38356 46419 53507 -1254 39002 17301 50247 -2774 6048 -28598 -1051 1790 -51546 5583 -41942 857 31477 -53642
r39 8783 -24788 -35537 -30567 67 -26852 57569 -32604 -58345 -41142 -58250 16951 42651 9203 37352 -54631 -31804 -58464 -3343 -17918
r40 -38220 45304 22193 -5587 52251 56957 -29765 -23549 -9290 27509 -57875 23109 -61091 44891 -30573 -50277 -58494 22666 59203 32922
r41 30870 43836 7526 20991 3037 21497 12863 26549 -2993 -29424 17985 54619 40818 -8397 50689 58932 3606 49289 -56059 -36771
r42 51771 3843 -16351 18399 49683 -49968 29912 37534 -36997 14604 -19493 -44785 47353 -24714 50957 53410 -24420 48878 -47116 -23118
r43 -54449 65422 52878 18679 4855 -2217 39291 -10506 29272 34316 38029 -24837 -49411 -3816 58537 -55233 32540 -27904 -16669 46444
r44 57012 -23753 -6721 -27432 51082 -8691 48792 -48847 30995 -62774 18151 -37519 38783 17458 11266 -32305 -2735 -22013 4038 32294
r45 -32954 -48747 -55774 -32056 -50839 -46906 -21134 31058 -6124 42486 63378 -9468 -35949 18339 3265 -65375 -16291 -42454 61230 -3148
r46 -27624 40997 39286 -25735 -43319 58357 56376 -60645 -316 43731 4777 46535 24629 38576 -844 -7078 7552 41152 -12499 55328
r47 -26805 39069 45122 51568 -53995 -56156 29991 24556 48736 -37383 -14984 -9469 -15343 961 -30820 36187 -56475 -34294 43902 -64236
r48 -21320 2195 8656 -43966 41649 -58514 22187 43505 30837 50248 -33780 -7097 -514 -49927 19338 -9784 -32207 61955 39399 20256
r49 1534 -37485 31031 51716 14549 49594 -29346 -36099 30863 62970 -64964 -46008 -61335 47428 -25419 38340 34164 -31302 53253 -27260
r50 -32665 42616 -278 -34820 35158 -2688 31519 -4955 -4603 9343 -40547 8180 19009 -35172 35231 -46986 -59081 -8629 28343 1465
r51 30503 -32318 25511 -6317 29807 -24384 -49949 -16092 39021 -2294 -60289 16072 17581 21976 25739 31086 -38431 53506 -18717 -45542
r52 -10345 27322 -42385 -57600 40228 47405 -38160 1274 23382 -52373 33650 -34306 -62559 -24436 -49975 -43640 -56888 19554 -25377 48240
r53 57421 43135 -34725 -61356 56609 -34226 51092 25824 62261 51710 43265 -52109 -25596 -18022 -54449 -52327 1636 6177 42260 -15730
r54 31800 44920 2477 8529 58046 29923 2844 -28021 -62383 -35723 605 59726 -11322 -10439 -36698 -43016 59636 -29742 46101 -6892
r55 54936 7569 35543 -46214 32630 4476 14248 -14999 21917 46985 16740 27229 52945 -5777 -35639 -42548 -29150 -23118 -29839 525
r56 9962 -1913 -47780 60167 -2907 -1068 -14814 -63746 23415 14608 54043 8297 -50179 16496 5120 9135 45448 61107 -57590 2369
r57 32433 65406 30418 -38678 29193 29721 -53416 -21258 29722 -48999 -16506 38226 -55413 11086 55817 29669 -28617 61722 -17437 -30297
r58 24406 55285 24661 47241 23047 -2270 9031 52620 24174 -25246 -39794 -558 60913 -14103 14946 63530 -40703 -40158 35545 -25355
r59 871 -57663 -47274 65240 27828 -15441 19412 -56311 47756 -57111 -41386 -53659 32092 -59230 12435 -9165 -42492 -28782 17632 -18144
r60 56919 -30515 -10401 57524 -27255 -38962 64444 -65063 -10693 2609 44473 52268 -63092 24824 -22097 -21944 40946 -59699 8889 -22809
