mTable1 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 -634 31545 46094 44185 9348 47902 -32775 33083 -49237 -11531 -50894 12323 -8147 55548 60649 -35921 61999 36218 886 -3094
r1 33470 49310 -4824 45449 -29070 -53577 -36137 1314 2483 -29821 -2491 -38023 -17968 36636 -57436 -43145 -61825 -39579 -13081 11396
r2 9063 57533 -36547 -51493 -13199 6401 53661 -52879 42597 8613 -34173 -35276 -56910 -32278 53115 -9588 -59023 51956 13722 43663
r3 -35402 64013 -33540 17770 -311 33485 -57556 33940 -31526 46691 13406 1060 -47795 -42525 -1828 -19830 63905 -24 62477 24002
r4 52779 2204 39720 39750 24120 39156 4171 37170 -16441 -47554 39617 32972 -14204 8146 -22015 45789 46202 60778 -7035 -15987
r5 34044 -44330 31131 -11504 64233 5004 59002 -39745 6837 39054 29410 -44689 -53683 45982 52434 -50810 -43711 52559 -31154 -18516
r6 -36132 14323 40004 24952 45712 -46930 -36934 -51935 49892 24523 -61328 -22859 -27695 31835 -35726 27714 50410 -49548 -13221 49974
r7 43764 -31932 -27183 51045 23385 1900 -3983 -54055 25101 15901 16629 9695 -21513 -35167 -25537 -38972 29623 32414 -6985 -38676
r8 -28388 23251 51161 -39116 30014 5928 19069 -42991 34442 39809 -47454 15010 15466 -50027 -55581 -39955 24585 -27894 30305 -33838
r9 41392 34637 43736 59 25266 -20763 22523 -32281 -49060 1016 -7417 33107 -16822 13706 -45958 -29532 -52893 50448 -1313 34922
r10 16923 59157 11618 11398 62998 7813 -17465 36720 15757 38888 -29857 -21704 -7198 51799 27189 51801 -22703 -18648 -15069 -40193
r11 60545 -48821 -45185 47059 -247 57472 22525 -28090 -28062 -771 36944 -18760 -28453 -18679 -62726 -8959 32102 -19877 -62637 -43601
r12 54226 -63665 38221 27330 -19210 -6004 15230 54448 26387 57328 57257 -27354 -8070 14608 17858 -54597 62191 64534 52066 -6351
r13 46468 -25456 25152 -36218 14271 -65035 35527 40312 33351 -52334 14191 6027 15712 -55293 43853 24292 -15753 -22161 -20711 11587
