mTable22 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 55657 -30946 -48301 47109 50928 -1459 -26521 51035 2943 -22989 8038 -26302 19356 18923 37698 -20963 59459 2620 -23196 -33044
r1 34358 -28435 62755 -2060 -53664 21940 -13166 -26331 -898 -9573 50872 28623 17299 -65118 -14581 -24439 -61643 49269 -22709 -50074
r2 45277 -47153 58720 3225 -17324 44418 -48317 33009 -49831 64079 11106 -15481 12387 -60463 40121 -38783 2970 -64866 -17456 53686
r3 -38790 42402 33976 47739 -61171 -18769 -14974 19532 47815 49673 45864 7360 39066 -20966 24494 -62356 -30795 -47753 34296 56976
r4 -7268 16882 -42344 23736 8079 -33359 48322 -15160 -63056 6784 51459 313 19195 62856 -26203 -62905 55037 29952 -14605 -35413
r5 9994 40343 14502 54694 45186 -53635 28353 9436 10818 -23837 -61643 21951 32486 48316 55697 -54382 18798 -48274 -16923 -34101
r6 51447 -55000 -19400 -47496 -52434 15665 -4842 22100 -16723 -7541 -12569 -53182 14773 -4263 61413 -26385 -36033 -54010 4201 2787
r7 -48642 44268 62075 42575 22934 34234 -17885 36513 -49102 -37195 52516 -46686 61911 -24275 56948 47439 -28329 35083 -30769 -2431
r8 31551 -37471 349 46881 65333 29355 -44665 -3573 52346 -20202 34402 -19340 -61457 39986 -18053 -1694 42130 36054 -51838 -12870
r9 34902 -62069 -56401 33619 -28824 31240 -59079 -2759 -8800 -18766 -6384 50577 -23585 -34312 -58635 48642 -43553 43571 64809 41096
r10 58826 14679 -6125 19934 -24031 -24701 14869 11197 -20987 -24850 -56235 -9628 44645 -48537 57306 2238 22813 -25364 61284 27787
r11 12294 -36309 60391 43111 12231 -27257 -34582 -51630 49323 -4642 -54898 32590 50214 46005 -53841 26652 -30810 -39384 -346 -24118
r12 6033 10432 17402 17302 43175 -24428 -23413 -29259 7875 -63299 -51599 30690 -13281 -37076 -39428 46338 -15031 60466 31908 13210
r13 8161 20014 -44208 62763 -41936 43923 -51036 27584 45687 -21740 -51870 -24109 13519 58660 15945 -31017 6396 -17295 17942 -22816
r14 58578 -15662 38398 28694 -47603 -48481 59576 -3925 -58913 22064 -53486 11595 -57446 63793 10368 56070 -43245 -45796 29773 44823
r15 50947 34031 36145 50604 -5234 -7954 49559 21969 5444 19620 -51036 -10331 -5073 14931 -42359 24533 -51473 48904 7199 -41730
r16 -28770 -56347 -29359 35572 13039 32521 -48178 5491 50064 -1982 63459 16741 25366 -23888 -40678 55390 26250 20335 -11270 -56899
r17 -51226 -10904 -44662 -52369 -34917 49724 -59233 -56180 -38821 -61263 25914 -56507 17824 6442 -35467 29514 36363 47159 53098 54235
r18 -18871 62402 -12583 24593 -46850 -24713 31617 57107 -47015 49103 -44582 57380 -17962 17343 -48424 -55501 -7649 40370 -32814 -58002
r19 25594 -42615 51964 51700 -41025 -51599 43771 21370 -55829 24778 48494 53025 54324 42507 7462 -49719 35456 -28709 -55634 11008
r20 39736 7975 -12832 57686 -44083 48865 -64516 24245 40839 -36749 -35618 -1592 12722 52287 -34164 12235 64233 21866 -38023 -15067
r21 55545 57485 -44046 -40095 -23521 -3676 -51571 62694 26818 -13435 18067 -43650 -11888 -31640 -39810 21251 -58674 -40108 62967 -2468
r22 35284 -26299 2608 -4413 26772 -22609 -25326 -55707 -32540 35374 37264 -52986 -44708 22728 19578 -39425 38604 694 -47101 1830
r23 32720 -15701 -16333 -36364 -45937 -1290 -20449 -47417 -40451 -9137 50642 60141 -60842 34829 -44901 -59843 34095 -49597 16529 51145
r24 -54242 3949 -27879 7121 16644 -41556 63252 21621 -41752 -33866 23113 -53234 18087 -17799 -19618 -40089 -55479 1162 -26220 4781
r25 35860 -9846 -46939 7553 -46300 -30716 18409 -29661 -36511 -16439 2702 26663 -3350 -31107 25252 -20507 -62662 -21894 -840 51849
r26 16950 32334 2565 37662 -54701 -40067 -13486 -725 6703 48210 46259 -14045 46790 5453 -42181 31162 -65438 42135 62320 42470
r27 -23325 43915 -61337 6753 32439 32640 2610 13401 -51781 8854 24834 10579 42894 -62416 -42523 40772 53708 -14439 -55408 23528
r28 17907 10240 52142 25011 58143 1726 53346 65136 -17384 -579 36150 -10990 29572 -3708 -22334 43348 53572 51033 -11811 27015
r29 -12395 -33988 13555 -16286 32194 4267 -7639 -9248 -57112 550 48986 1870 -10299 34254 -34760 -46513 20599 53374 -60696 176
r30 -2351 12123 60927 30839 50240 -10544 25110 58359 31264 -20767 22440 41277 15863 -58856 -36415 -41276 -50782 19205 -29658 -57533
