mTable31 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 -50183 -28441 14515 4328 21123 -15785 -35421 38892 50124 -29750 27196 -51684 22481 64679 19423 30334 27025 -31620 -44521 -36599
r1 11684 49641 47753 -24872 29729 34750 60985 59811 -62574 52584 -51824 -55441 52477 -65190 -41222 28689 4049 -16554 -16195 -32728
r2 -36048 -30081 -50368 42183 50339 -52265 -35502 -14804 -57706 -34533 -41280 62601 44771 -2070 8095 15488 49968 -1347 51818 -7041
r3 48047 59304 -42699 -3654 55385 -18690 -25738 -2650 55629 58420 -46044 -17345 -12518 -24669 59030 -36888 17204 -32067 -37318 45063
r4 19551 26952 7760 -55916 925 -38618 55570 -49564 -2438 -8751 -10665 1544 -62425 2043 47532 -55997 -22531 30386 -17939 -5189
r5 64388 8955 17076 4193 35356 65344 35565 23860 16783 -30171 -12523 -53234 13609 -28526 -10282 -48897 50675 -50537 11278 -22028
r6 35839 -55230 -45293 3531 -18300 40726 4751 17200 -43481 59702 -42379 -49018 53421 -62982 22500 51676 61407 9635 -35114 -53935
r7 -59840 22711 37179 -17549 51476 -12094 53701 -11719 29420 26363 14364 -37991 41210 40024 -37324 -36842 -58132 14100 23130 -56714
r8 18988 -53615 -35383 52032 -777 61031 43156 -47263 43055 -54914 -60216 8789 -5968 22208 39365 12125 -50433 -64834 9740 -17807
r9 -55589 41330 42425 60977 -64675 -1676 -41827 65485 41115 -43547 -64405 -3982 8568 -2327 65074 -54850 38878 -62447 -13163 -41245
r10 -55245 -18118 54582 -33082 -4306 18634 -19284 -50785 5799 -33128 13126 45731 -16146 62301 45667 -62890 39622 46663 -28786 43802
r11 36554 -31787 23848 -14904 28740 -7311 39976 -51901 48385 50079 4300 10332 -59810 63382 -27176 20821 -23888 49327 -14796 -22203
r12 -40546 -58942 44135 -10422 11401 50460 29497 -36927 -52716 -26186 23554 -27975 6131 63642 -9464 -3744 47693 6103 -64759 43829
r13 60380 -16725 -2590 4900 -61953 -54249 -24073 62743 -26340 44269 -12341 -15143 -9653 -1836 64076 -15523 -12181 -5947 -48078 37914
r14 21684 -37154 -6381 57867 -18030 8274 -35584 -45169 29719 19387 -22500 -21623 -1400 -62350 -21619 44108 -16029 56350 -17721 -14497
r15 -62567 31018 -39735 -65200 -53771 43071 7841 61257 -11372 1344 6047 -41065 57138 46514 55193 -2403 -5714 -50527 11525 -42865
r16 508 -32255 25115 -34117 -59800 52559 52229 -37199 -11363 -29956 -3734 -50619 53519 -11810 12936 -54677 -64757 20848 -31165 -33818
r17 -54330 -4729 49500 -12696 52514 -33166 -30887 -19589 -4278 -15336 62494 -48820 17897 50015 41044 -10426 -2665 63571 37275 -33972
r18 -16726 33966 16860 28515 -3234 37302 8135 -17884 30715 -18507 15217 -63905 -54252 -63186 -59319 -54748 1341 -13171 -6401 14144
r19 -4002 26929 -23168 36778 15314 -52303 16186 7005 -57836 -6919 -23563 1011 13845 28117 60155 -59519 17463 23989 -33315 61550
r20 42533 17516 -6069 32109 -24666 -9841 -56360 -53053 64135 -40641 52899 24092 -36186 -44080 33485 42548 949 -44929 63042 -63251
r21 -46241 6486 45241 -8496 -22529 17385 38970 31877 31919 32998 42449 -23049 -15634 -14375 39987 -22563 54181 -64082 16489 -31414
r22 -54415 -11579 -20960 35800 4346 12649 21225 -63635 30195 -40694 -23306 -39385 -24864 34725 24250 18998 54248 28557 -47665 -48643
r23 -6505 -62458 -39990 -37643 -59949 44042 -33011 41756 -38477 60781 -39854 -33037 30957 -32242 -49782 18944 42529 -5237 -15871 -64180
r24 -12429 -23790 7126 64638 1244 -19904 11642 -61708 29553 54989 36789 52968 -40588 57585 -38744 -14950 -17682 12181 -30171 -21115
r25 -51522 7589 44233 -64457 -34677 -22210 16035 -39094 26306 39876 30370 56829 6513 12560 -10629 -27177 -9553 5781 -26103 15907
r26 -62787 17448 -13424 19555 -33633 56741 -11405 -21716 32381 63110 7310 29633 -65182 62088 33850 31794 64270 -42195 -13441 -47136
r27 -44526 -27947 -44100 21390 -49821 30768 -3176 52974 31097 27927 33677 -12158 -51802 48915 7038 -19411 -50877 46837 -12491 -43881
r28 51060 32172 1276 -6932 -25955 54836 -24849 -55564 59539 -58292 -44418 43541 -7891 36543 -21263 -3518 -12847 51846 -18024 -30438
r29 -19850 -25112 -16155 -36654 5954 -16469 -29095 -44992 58461 18876 14597 -10857 -12191 27211 30644 14732 40242 44969 -21958 -47063
r30 -13383 -31330 20106 -38388 14558 14296 52006 62793 20260 -31303 -18271 15033 10699 24436 -14606 -61057 30129 31463 -56539 -45771
r31 -39604 -57389 -35531 28043 -44840 58477 -2301 35897 13080 -20248 -44960 3761 53606 21205 19029 -36860 -2617 42293 -27749 -51891
r32 -20332 -53307 -63928 -22742 -1610 -9852 -9486 -24024 1159 41845 51783 20687 58729 -29596 60936 63813 55239 35312 60004 -22560
r33 37450 22283 -47878 14979 -2870 -18067 33311 -14886 -31212 -6450 836 40893 -30328 -37744 -37469 -64274 -57495 65099 -41939 38852
r34 53221 47633 7912 41969 -15360 34250 64507 12600 49834 15093 59626 38999 -19335 6249 -28292 26851 12145 -4651 -23655 4775
r35 39379 12892 -36215 7672 52912 54617 62819 -11682 48411 22276 64134 -38715 -19459 21931 -18387 21034 -58337 -29246 33947 58103
r36 -36891 22952 57678 -9158 -42625 16451 -13329 -55196 63458 5606 15161 -62369 25097 -39361 -16244 -61742 37366 -59423 55338 -58277
r37 8358 3919 12289 -28468 55628 -50918 -26534 2819 2857 -65137 -47038 31499 -32992 -10750 26603 -36230 -13670 -40113 -29832 -8050
r38 -42481 -5645 -57027 37137 1377 808 -4244 -39560 -18656 40833 57619 -52526 -37706 -55126 -60608 61538 -9138 -63039 -31673 -10548
r39 55902 8691 23217 53308 -4265 -4823 -39312 40513 11330 3269 -65469 -10954 -43435 12800 -9885 -20554 37015 -14133 23870 -55111
r40 65275 -4599 -42592 15239 63933 -33452 -28658 9131 -41479 30830 -41025 36809 32098 47387 -21278 -12767 18176 -27344 -34478 -52752
r41 -46521 59337 6644 31209 5603 47938 -47662 -50853 37140 20966 8828 -60407 -35961 -9258 31209 46371 31743 19651 60083 -37449
r42 -64956 39636 -19949 -5744 -16263 24294 5184 -57473 32859 -20804 -63204 57410 14235 33443 2843 4759 -44103 -43607 38646 11255
r43 57640 -43042 -5368 60268 61982 -56455 57602 55219 -19976 3169 50619 -59765 -56953 33085 23950 38049 -12971 -45137 -57115 -29508
r44 50803 -36964 -63958 -31325 56176 -21211 60617 -44687 54396 64212 15630 -28617 10333 -59460 38768 -28116 -11342 15407 -17525 12952
r45 35794 52083 -56084 51881 23669 -8153 42663 -42414 48086 -36013 45988 -55147 -14494 51492 -30558 982 -29206 35115 64576 -40860
r46 56558 -1197 65497 -21495 44459 36908 -24308 38392 -37834 62614 479 8699 54165 -35243 -32639 -50149 -21106 29480 13762 51423
r47 -38444 12213 -33256 -39157 -3912 61370 23045 -58239 29676 3760 -22389 32788 -38098 33233 -61471 -27204 15307 21884 32923 30215
r48 5426 53595 57954 -58416 -43603 29120 34374 43244 -23736 30563 -60356 -10889 30781 41665 2444 -13288 64029 58124 20688 -59653
r49 47068 65290 16080 48412 -45471 22200 -13224 -10191 -51846 46209 36530 28332 -56165 14659 62070 34753 -41921 -21260 62783 -57097
r50 31558 -15887 -62986 -10818 -57065 -43694 -10852 -37944 27169 -8682 -27000 -15192 -17664 -23500 -57813 19562 -30610 -65162 20186 -16175
r51 37701 41103 60765 -43136 35490 54382 -60581 -16546 50263 -4594 50682 -54330 47434 27485 58048 35864 -44212 48431 22754 -17514
r52 60422 -48816 -63990 -1708 -31343 -24543 63465 -12877 -31093 54124 -10227 25678 -27309 41390 27220 39585 41979 50048 12180 -64800
r53 64867 -12730 23108 -63969 30104 35842 2502 -26572 -40378 46618 -25885 30081 -56547 32252 -13265 16928 -61236 -1103 -19842 9082
r54 31624 19624 -11453 29044 -52458 44595 51419 -38473 24360 47751 11847 7877 -9808 53184 -19995 -58868 -54996 7248 -11523 10253
r55 -45356 -43177 -19091 5461 15003 2627 58778 -50032 -57698 -56459 -28181 65435 -13740 751 40760 24789 367 14308 -50724 14579
r56 18870 54246 23623 32674 57068 -46956 43893 -43631 -22162 59910 -23799 24752 -29316 -64613 -56183 63390 35552 -19401 6335 -26847
r57 -17118 -42409 -43389 15999 38106 -28651 -8388 21226 63426 -58895 34738 46210 -18244 -40449 16763 -38892 27462 23025 -2591 50999
r58 -11792 28382 10404 18102 36132 7409 32542 -25781 -22761 -64353 -11843 19194 22757 -42662 57439 -49799 16538 -46734 -37749 -8496
r59 -36375 35506 -49782 -12967 -39155 48690 -42053 31857 26601 -65210 13027 -21475 29328 -26424 52523 -35385 63047 -53313 21687 -52250
r60 -29876 55060 -6301 1779 20406 62314 -13703 -53831 42557 60170 -36271 -39151 -3210 1759 -39789 65352 25117 -21964 46338 23826
r61 5566 -26868 -45613 -10973 -36480 25293 39782 1168 58266 45757 32148 -43412 61784 -14944 -62669 21210 22736 22466 63564 -28464
r62 43221 18816 64137 -49617 41157 -31998 192 -5813 45349 -14989 21370 39 15169 61648 -48602 -61920 -57949 -12890 -11694 -38835
r63 7536 -33694 17392 -55039 58209 27313 8268 -30073 48019 53461 17560 19990 -16466 47233 -12604 -32581 30575 57807 26175 10493
r64 62432 21034 9280 47155 -38321 -65437 4035 -19691 -8169 58760 -20074 28305 5154 24599 36570 -63422 -48548 20263 27944 -3563
r65 6763 35970 -36959 64289 9634 61101 -15959 24294 47766 -21245 45968 -53212 -13044 -33298 -41432 40185 10275 4702 -38260 -62465
r66 -38150 -31748 60591 34111 1421 14087 57724 49669 60793 -37669 3092 -26759 -22509 -29334 42840 40466 38246 -9527 36610 -58784
r67 -53601 -62711 -25878 60745 -41198 -8747 19436 17055 5210 -58132 42136 14742 -54412 -21244 55177 -18238 539 -37072 -5806 -5141
r68 45175 -8906 -26072 57379 -55082 34120 42729 -27434 -31725 1860 -44977 -40329 -23413 6498 60452 38128 40956 -7814 -43779 47725
r69 -21126 -52149 -19793 21128 48516 -32005 805 31869 -4704 49388 24692 9705 775 1441 181 9927 -626 26420 44238 31770
r70 -62269 -27015 44612 55008 -11367 -41730 33415 -27471 -29544 -15754 -35277 -56286 19977 -49005 61540 51627 59939 -4811 -44200 -673
r71 -2560 874 -26649 3486 33439 -30950 43532 -43039 -24842 53714 25456 -16209 -27675 -58662 35565 59798 -16888 -58958 40792 -25004
r72 -45505 18637 26649 16279 39292 34376 -55418 -61469 -21888 -27823 11108 -45757 -62944 -27511 -23876 -40874 63491 -49131 -29633 -4582
r73 -18236 50310 55968 26607 58613 -34041 27535 31008 -56215 -44034 12665 -49948 -40164 14762 -30227 -119 -23458 -63849 41255 15634
r74 57787 -18392 -54261 -56401 43352 -48676 -54269 -2435 26934 -58404 9527 -18732 51881 30134 19734 44295 -1448 -39572 18058 -53989
r75 -35314 -50121 55470 59789 64461 61315 63730 -56716 -28740 -59395 6538 10037 -59542 -51709 -44316 -30700 10642 -48727 -63218 23300
r76 -2736 -38105 44667 -56418 -6681 -51379 -23496 22487 59717 -35191 28138 50582 -29571 -50062 54823 15204 -34723 -37030 -45356 -31432
r77 -1370 7380 51643 10882 35713 -34115 -40358 33566 -19119 -30686 -56204 -110 -12478 61573 17763 -12672 62328 -27743 12853 -1372
r78 -44133 -27099 50246 42746 -36677 -137 59669 -14595 55572 49340 23748 2723 -4274 -21316 -44695 206 -48229 -39528 19574 55570
r79 61028 -26810 -21893 51439 64435 -46568 -44027 -56387 3948 -37216 57976 2978 63229 -53006 21642 37157 -20784 -683 -10390 -57805
r80 40635 -4508 34261 8737 63809 -35853 7854 -38089 42508 9267 -53393 29753 -53143 15493 -21070 11868 52012 37078 -42028 59488
r81 8560 25215 -44612 -61050 -49722 22802 42669 -19267 8166 29437 -39988 -28069 -24506 44395 7205 1031 21581 58437 33751 60514
r82 20152 2705 -61009 59318 -16947 55045 -59369 -12473 -22755 5676 9516 56941 -55396 61542 -22874 -24844 46522 2901 -65062 -26807
r83 40662 28757 -62018 59316 18497 40546 -38410 33815 -18783 -18137 -13874 -58570 -58623 21056 42035 -64777 38077 27934 -17393 -22615
r84 42783 61612 62541 -31164 30385 8707 26104 -60093 -4251 47809 -50218 40537 -48547 9830 -27176 -25750 32934 34476 39216 48814
r85 -21543 37524 56415 63231 33078 -47329 -45233 30083 52810 -47747 52888 25963 23027 55801 60961 -11617 -27034 -44003 -24990 24025
r86 6777 8803 -46873 -44808 -58662 44310 65039 48724 6837 -733 -15790 -58714 -52134 -42220 -36814 60202 -55185 26220 4821 -41861
r87 44601 -2260 55676 12175 -57963 41942 -60487 42784 18400 41878 -10145 -28220 49212 -42313 30041 54311 -48121 36955 -2174 25836
r88 9756 -11715 44367 19278 -55893 -18888 -57081 -48837 -64734 -64338 56441 2253 -25840 56841 -12051 28418 16078 -52551 -23217 -10330
r89 488 16624 9042 -620 -51305 -40214 58873 22225 44536 -38059 -41942 22568 -54604 64551 33890 39944 -16310 2043 -52334 61896
r90 -65051 -51794 65494 -46769 5393 20293 -56235 698 -24749 65526 -40052 39232 38585 60208 -22479 -18571 -3831 -62032 40322 24796
r91 -2174 -40930 21060 -45259 -28801 -15765 20641 -59968 47329 -20674 29353 -8247 -61207 40645 -58835 -33305 -41029 61814 31272 -55474
r92 -40678 -54910 -48562 24822 37454 37424 -30290 -30238 -61797 50594 -14470 -24691 -39825 2971 14347 29176 -6904 12831 54932 61415
r93 -25202 -53086 14280 64556 671 7285 -23901 -39923 61510 -669 3740 -61735 35871 -47709 -10508 20768 -28195 29560 -39702 9848
r94 -56920 15051 -64520 -31942 14107 8067 -21759 51945 41781 55996 -13630 -44927 -23096 42723 44591 -48047 5344 62205 58472 17499
r95 -46936 80 -17093 25083 49732 21800 -12061 -8181 46502 -42837 55737 -39285 -15442 -28737 16342 -61103 15047 -40471 -64520 -2895
r96 -15113 53650 -58934 39171 59582 -40059 -36028 -974 -62609 15704 55835 49757 51351 -63377 30951 -47395 -8497 61093 31205 33750
r97 16849 23494 -58228 34648 -21184 -21661 4824 -55604 -7303 -62246 -47779 -28165 -48584 -12417 -56587 -15963 20026 -43626 -37004 -40022
r98 -20910 32056 -2679 26834 -53974 -4414 -51882 23019 -59131 9006 23063 -58435 -40537 58815 36611 -62921 -51692 35028 30327 35408
r99 -28418 -48657 -1479 -13207 61921 30260 -24828 -17546 -41680 -47025 14910 -51611 -56626 56257 -56428 -5532 -10126 61345 -36647 51429
