fTable3 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 32822 56523 -36604 -42792 -47018 -24067 -36339 -29007 -38262 47733 -10204 -51020 29871 24626 -50089 -8141 60181 43520 -19251 27106
r1 -5327 6567 -54678 54750 31272 -35995 -4042 25453 13119 -40746 -46303 -31621 -5985 -12765 56161 45650 -49411 -40737 48036 23641
r2 20461 36560 -64274 48812 35146 38429 -9461 5545 -8510 -23977 -33002 33497 -40402 -22703 -19470 -32470 40611 18024 -8446 13391
r3 61617 48561 -56154 -8643 30663 52673 18438 -34544 62964 -12393 -39528 -48162 40229 28645 -54653 42144 -53465 41464 -12299 30220
r4 50930 -55941 -3014 22175 49739 -25828 35172 10963 -28162 -55010 -30768 26914 40284 41651 12422 44954 -56916 20172 -22647 45911
r5 25438 -41506 -26617 -46946 62561 45362 13258 56090 44623 53419 -55200 42068 -58037 17324 -5897 35906 52498 62673 -7208 5956
r6 -20473 -12282 44387 -47955 -58614 2766 -32421 -17324 -20556 -31566 40335 -7553 35316 5625 -42559 -17679 26327 -27199 -36908 -58937
r7 5389 45855 -60467 17621 -21107 12390 -13898 -26747 -43940 61468 -2244 15367 -19315 -22053 -26865 -25113 -61917 14325 -39054 5304
r8 38600 11847 -46216 -63932 37954 46233 47746 -6224 -35829 6707 44347 -26246 -16104 5628 -42474 23556 52230 44894 -17725 -56733
r9 40099 55970 58879 -59800 10201 22361 -14698 -1020 -19571 37915 -5757 -50552 -25353 -24658 -53510 -19008 -10139 56687 48792 -58595
r10 -52946 -58793 -16969 -33926 -40160 -27521 -11966 62855 -11239 6052 1825 -44375 -28185 -6033 20290 35617 12871 51024 -2417 -35403
r11 -10590 -12847 48677 -14489 -28446 9068 -63629 56056 -63661 -28540 -43421 4532 -62966 24113 -10096 -1519 -26436 -41529 -14639 -15802
r12 48221 -7412 -31972 -52229 53877 -46214 -49708 54303 -29650 -47577 -10653 46662 30603 -37629 30039 -44980 8998 54472 -54763 22340
r13 -11675 -33904 33230 61263 -29528 -28446 33371 -44906 50 42988 49450 26551 61375 42941 -47599 30124 51980 24030 -3867 28386
r14 -54982 56549 -56044 -55992 56943 60780 -9527 -17350 38740 28368 -56037 -11504 27772 -61011 -63245 -7212 -54883 30783 -1331 -60225
r15 31689 -57300 -56400 -41797 65501 38408 46912 -16004 -11859 18456 45240 -58223 11230 -25899 30448 32726 27801 -21312 25807 46873
r16 56652 5252 -9950 41693 42661 -58840 -28852 -53107 -5515 -39427 27721 -5488 -57474 -37276 -47490 56519 65115 -23156 41866 36520
r17 27777 38144 44626 39220 40724 -61162 57217 16756 48947 40758 36529 10604 33343 43701 6385 -61184 -17840 -14366 -45873 -27589
r18 -64509 -32124 -60394 -63435 -92 27617 45093 -37448 -65467 -12349 -64146 -14807 50250 -55676 -59985 39923 -47502 -45014 46509 29380
r19 -28825 54872 52074 43459 2925 -22436 24762 -3583 61899 -43189 16767 -42381 27390 -11849 -55034 -2879 -14546 31870 -9780 33352
r20 27709 15959 -54017 -5869 -29122 -11051 32416 -21240 46560 34750 22475 25547 4791 -16591 35340 -37049 -44778 43630 3485 30650
r21 -937 -23112 -36342 13459 33335 -54542 -65149 -54077 -29491 -28232 -51327 -46906 -20728 21963 16706 40982 8485 -55341 -42308 -20159
r22 -39336 -11705 -26842 -59896 16802 -35706 -29851 34331 52064 31799 -6317 -57861 -31982 -54565 51458 60641 10390 28541 -44707 12941
r23 -13977 -61435 60034 37678 62898 -4155 53969 -23966 -54177 35476 -12951 25827 17431 52493 -51317 -29374 -41988 18676 1244 17928
r24 34656 -45085 6237 63905 -61409 -3806 -26986 -15929 -12341 64959 23838 -9590 -11929 17497 -33114 -10570 33902 36578 48594 29459
r25 40916 -26630 16388 -37152 46134 52713 -14317 51371 -2306 3896 -11961 18719 29069 -23443 44468 52846 -47820 -27691 -31401 56831
r26 12417 -56866 -6858 55366 17746 40777 47038 55708 -234 8942 -53602 -61008 43399 -8968 -35068 49189 -26311 13724 25611 62801
r27 12673 25000 5511 -22300 37434 37668 -65428 50177 51026 -7354 29159 -59132 5001 -47729 6909 -45933 -37502 51631 17080 -18917
r28 -4892 -62903 -17080 -52968 -17246 -6282 62415 2073 -53884 -13979 43770 -53474 -43543 58444 -36305 6892 39238 60865 55401 -33339
r29 13214 24466 -36653 43712 -14860 3090 30962 38623 -27296 -49845 -23161 -12239 -10724 -37550 -28504 -47161 -35830 63321 4053 42893
r30 47265 -33521 -4984 20016 -5563 -50531 54414 -64300 54460 34239 -47584 17830 35204 -4789 -41466 136 -53072 24344 56252 45732
r31 32031 22089 53215 -47992 56136 63602 182 35195 -44308 -36976 35877 -13677 14264 -8489 20166 31148 16846 -39545 9451 -51870
r32 -20474 -5246 56295 -37136 -6654 5064 63339 25519 13895 -41172 19081 10268 -5383 -2029 -44524 60461 -21261 -27489 -42271 6345
r33 52163 -977 5547 -20304 -39193 25097 24937 -20984 -14167 64245 -59778 -9692 59230 8792 46405 7968 29772 59419 50794 -55805
r34 50226 -26835 2336 21975 -9566 65364 -57860 -61377 -8920 -34641 32801 -24279 40469 38439 27254 -15616 62016 -59830 60892 -23534
r35 38701 -52190 34359 -12851 2297 -57351 -53904 29664 7774 11792 9487 -64167 -51028 -41347 -48636 -63417 -50118 -39107 58047 -19158
r36 63342 28845 26123 23082 3448 -12934 8026 19968 11694 -55719 59340 -56093 35477 41316 -53909 -20992 -1214 48840 -29066 36474
r37 -52561 5591 37616 21245 26705 34132 46665 2959 64848 -54234 -1236 56039 588 -5706 27386 -41796 -54347 -13389 53372 44328
r38 40411 -38616 64842 19603 -58168 59587 -60259 56214 -56379 -64140 10163 -25192 23140 588 17668 54569 236 65137 63308 -59451
r39 -41133 -58800 63292 -49974 45400 57284 53811 7192 2840 25826 -45747 17553 -45325 -18885 42966 -40411 58883 5180 -30283 -32296
r40 -5279 22006 14964 -41436 34712 -31085 2892 -45524 9637 60989 35045 16652 46046 26693 -56031 30803 13615 -1853 -53701 -37175
r41 -29681 -31733 3575 36778 -18114 -39324 27646 21495 -38742 47204 45612 -44274 56240 -5304 -15042 18387 18791 -57596 -1400 21307
r42 -5077 21492 -6910 -5658 5610 31397 -43652 11735 41681 -31875 -18747 7693 -42000 -60692 25898 29482 22843 -1861 30850 -10614
r43 1767 -17295 37204 -23818 18925 -33243 -61815 50981 52537 65165 -42665 63876 -32694 -29578 -56011 -63636 -21966 52917 59352 -1266
r44 -63702 -8640 -59502 -46935 -2384 -17531 54547 52306 -29453 37910 -10808 19471 12760 30366 26187 -60286 -52260 12040 10124 -26630
r45 42041 2442 37297 -18443 -25590 -37223 -2387 26434 13712 -31781 25268 64208 36990 5766 -20629 51023 -7789 -42906 17984 18566
r46 12262 -31291 25806 -19076 47986 -51666 50843 -62659 -57948 20724 -18177 2688 1973 -10938 -25256 62998 -44105 -22337 -48665 39729
r47 -15741 47194 -13851 -45582 63721 21360 -32910 47002 44706 -37482 -60426 40581 23264 53748 16086 -10952 61836 54682 57692 -48312
r48 58598 46297 54480 -40339 -2711 47928 -9942 -53029 -38038 4906 -4020 34646 -45431 -15202 25974 -42340 847 -25162 9383 50528
r49 50874 21024 -38191 9961 -63406 31849 -44358 -47094 24905 -24659 -58096 -31055 -4409 61219 -39013 -36539 45370 28987 -5991 -42985
r50 24425 42548 -30006 51086 22811 18409 60832 58669 58097 28295 -57354 4079 -40472 53491 47174 45402 -11875 55090 -12639 -11890
r51 -61814 -49905 -34557 13392 -38357 15380 -34814 -20103 568 -29946 27716 -31836 23424 -22058 -45348 -41598 -35182 -2327 -40973 8121
r52 -37618 -58313 -55887 31980 2306 46708 -3950 32810 -41976 61928 55601 -20713 -25601 11824 -51521 53879 7217 38679 58096 -31510
r53 23131 -40269 20279 -2485 -7042 -15662 36834 -40984 13305 -30123 -50846 -65382 -42622 -39779 -61703 1347 34675 48898 -60695 24999
r54 39430 48995 -55516 -47872 -64398 49574 48049 -62582 -31756 -1502 -46238 -18250 19814 -36649 -31326 -59065 -15983 9553 -37833 60225
r55 59854 65061 -22109 15499 -63397 -30158 -37737 54379 -61603 18854 6779 10081 13556 -53834 45442 22189 8111 67 44625 33522
r56 -30396 7761 49147 57124 24606 19429 16910 52155 -9171 -49914 -30284 -36298 47698 6323 28136 -10642 -54302 -29983 -22739 -33767
r57 -23123 -6257 -46667 -20962 -58149 63495 55666 -64855 -634 12753 1293 -3575 -47285 -57540 41875 -56540 -64492 37113 -42596 10386
r58 1919 -36023 18972 -8415 -16934 17636 -24812 -39095 3816 60625 64960 44497 -52268 54897 52816 -34231 -18106 48442 54587 15612
r59 671 15240 -4290 48061 28959 -21395 24153 -11610 -16681 41479 -63208 41195 -43928 -14867 -65172 23440 -818 -56749 12963 -14702
r60 -44812 19659 -19923 46849 -55736 -12088 14315 -28017 23222 38310 -58991 -18153 -6414 53848 -19153 29262 -41023 -40847 -64743 -18142
r61 -40096 -24705 -30245 5833 -50247 -36960 26923 55036 32840 -35872 28423 58607 -43976 27658 -16110 -29654 14520 -2710 58317 -21919
r62 -35796 41865 32261 -40794 42682 -43107 -61889 938 -16025 -51222 17133 33867 45420 -23355 46893 -3584 16201 650 1700 6597
r63 -35522 -39855 28054 53114 -53640 45661 -24110 -59097 54543 -63788 -21257 -31738 -47920 19697 -61020 -23431 -53682 -3882 -18084 -41737
r64 9926 63522 6787 -65232 -17541 -21355 29390 -21115 25788 -217 7686 32326 265 5375 63089 55141 13404 45447 302 25365
r65 25043 -47855 -43539 -60310 -47350 -38492 11368 -49923 -35945 -22922 65491 -32132 -51147 -60744 -9224 -27435 -32862 -19341 40842 41899
r66 25863 63239 19072 41397 -45478 36307 20023 -32585 5113 33498 -52480 -47953 -8924 50490 -62291 27803 13580 -35091 24710 8691
r67 -14277 62829 5633 -62513 -54425 37993 -46262 -3487 38700 -37293 13565 38947 -41542 23118 35369 -64530 22965 38305 64463 29648
r68 -16702 -33802 20723 28945 -31675 -9322 50883 -20599 -32715 13200 -33282 -32235 9262 45870 -33899 6946 31985 -39042 52637 23403
r69 -19694 -1383 18294 49797 4181 2673 51508 -14160 -8547 -40383 34016 -33711 2520 -61817 -33973 1548 57146 -502 36739 36046
