mTable30 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 6459 -15376 -14962 38462 19852 -63128 37424 53773 42421 46733 -29879 6550 41095 41605 -17595 -62382 -9694 -42996 39145 35327
r1 -65320 -18173 -29156 21636 58288 209 62631 61167 -61718 -40109 -36772 60181 57374 -43568 58483 -51697 43649 20159 -48777 19299
r2 -31940 -54039 -46847 -56660 -48693 -44231 -22176 33430 15068 25471 48882 44256 35016 15628 55496 -9462 13289 -9318 -49968 -21774
r3 -47170 -42040 22066 -7514 17162 4692 -58397 10634 -63292 39002 -27829 -27133 -11240 -16846 16611 30449 -13389 38719 -33055 -60645
r4 -9460 -58858 38136 -12247 11215 -31304 60673 -27740 -56042 34439 -49755 -18800 26740 -6997 -16542 44054 10254 -56452 21009 50024
r5 -60471 43346 -28981 -4897 45299 -14333 -35210 5841 -62454 -47366 -16565 -60897 -50322 -21314 15122 9328 -5247 -8579 -61596 12842
r6 -34351 6137 -26726 -12988 49162 -2010 23106 -22334 -21483 61994 50469 -51653 -13812 11067 32207 29770 -17817 -49137 -28503 58466
r7 -11611 -14486 11838 -56328 57606 -25221 -13155 -33914 46063 -32291 -44077 4380 40287 -3631 -44391 -17817 56723 1884 14873 -48456
r8 2443 -14451 -2567 -17993 38499 42221 63917 -49603 4432 44356 34857 48375 27345 -47949 33927 -36201 -3053 43140 18290 63251
r9 -65257 57838 30017 -11790 48421 3319 -9475 -64384 -6088 56874 -252 -36050 20626 33777 -22120 51837 -59315 63235 -1680 48530
r10 -44956 27427 7007 36605 -41557 -64552 10089 14012 -49627 32782 27547 30928 -29806 -58964 -6946 -45898 -24455 -35559 -26127 -49809
r11 9354 -8729 8026 -40611 61705 -33923 -54592 1532 36707 23775 -65410 -59060 -36411 994 -42338 -55132 -41040 55465 8129 -53331
r12 12473 56376 -43829 -4509 23834 -59823 27693 53809 -15262 -52205 -28520 8208 -35293 -15175 10599 -3446 -33157 44829 18314 -15542
r13 5291 25618 -4518 63306 -3041 -51470 34129 50485 -3241 51845 2359 2142 -40058 -59011 -26789 60219 52771 -38278 -7251 53578
r14 -37724 30377 24467 -46493 548 51661 -18859 38787 33443 -8951 63552 -46952 -25885 -12408 -4776 51592 55689 -14091 10517 -45519
r15 -17368 27896 11144 -32023 63226 -1546 7771 -13430 -57577 39395 3186 33752 46410 54973 24131 48171 30330 59640 2298 21445
r16 45146 -64888 683 -18070 -40202 -20925 -20874 -52032 -64648 -46602 57186 5631 4721 -11092 -52178 14978 -10939 -17886 -775 26128
r17 -42828 -13424 44152 16179 33815 -40142 -16056 3444 58228 58724 -17968 -58280 63765 52802 30905 -35429 -33455 52150 -16397 48533
r18 8660 -64947 9086 49516 -5594 -50557 13586 -23717 54311 40348 -35594 25812 38489 56354 -32716 -14847 -17503 56200 -3714 25619
r19 -62905 32440 24884 -57346 -27054 20307 -60673 9164 -39555 32267 59598 -27968 2407 -30409 -33660 16281 540 -33126 41613 -6273
r20 -57216 -54777 14181 -40352 -33124 -6970 28337 -42573 -12463 -29660 25026 -36843 -32307 17365 22372 -11170 -55997 27958 16444 -6376
r21 -18422 20509 -36972 27477 -14822 54164 21725 4689 -1897 -13764 -16277 24548 48285 60350 63988 -43399 23637 -27698 -18354 -16296
r22 58130 5477 56061 49068 -65349 20881 -36685 -60154 42400 -16564 631 -42758 -59314 -52141 -41765 21393 35727 28371 49984 28466
r23 -20370 -60173 49105 -25687 -16557 -17434 -11610 -39510 27983 61627 302 -63788 61461 -24411 -33120 -2444 833 59908 4719 51952
r24 -37921 30192 -9189 -19120 37015 12976 -59142 29798 30683 15540 11335 -49034 39575 21369 40864 58038 25928 59599 38790 -35076
r25 -55258 19953 63246 36473 61645 44161 14646 -45077 35935 -64242 -17785 50865 34123 -32641 5161 12644 -21421 -14033 33411 56718
r26 17423 -4698 17123 59534 -33020 -7690 30227 -4637 64227 26260 -2896 -62534 24787 29848 7192 -35436 49239 -36860 -1796 -9541
r27 -56736 -41919 -26578 -49943 3308 55406 -32420 63521 -144 34864 -46027 58797 -7765 -21935 -61391 56522 -47543 -57471 57608 -21736
r28 -2537 -65013 4005 -36031 33325 37795 -3724 18049 34449 49604 -27392 -11953 19067 -26637 -17110 48108 -44994 38913 -47261 -11996
r29 -55365 33583 -61557 45257 -24412 33233 -41499 -21441 54413 60548 -28899 -39335 -30122 18810 -37663 -11354 -10346 -15049 61404 -4673
r30 42653 51357 48321 6745 -22193 -44164 -10205 7935 -21 42321 -54410 -34665 63415 50852 43007 -18013 40726 6989 56770 -48542
r31 -36206 -11770 6307 19230 -28704 19170 -10315 -45319 -56962 13935 -3332 -7358 12396 31480 40356 64706 -39732 -25977 14359 -9334
r32 -4503 -51836 -39256 -2755 -29578 19429 41313 31122 -3258 13648 -26535 13730 3526 -24874 -22168 -12945 40427 -27877 -57120 15100
r33 -59065 13381 -41672 18402 36553 12063 -44384 -36724 5120 41513 46155 42388 7369 41618 3747 -25389 21423 15585 -31376 49088
r34 22028 24227 211 -50588 -12379 -50389 -47190 13441 -36354 -2544 -11262 64832 -56087 -32845 42254 20504 -7865 16026 -63785 61039
r35 -22163 -47218 22485 45505 -34853 -7306 52946 -46222 39997 14610 21511 30810 -41100 39567 -58711 -12876 59115 29511 -9358 4342
r36 -1894 -51347 -26059 -55997 46813 60210 60221 -26037 -24122 -64180 26784 16146 -11407 -2640 26944 -13358 -49596 17679 -42485 36154
r37 29146 4819 23353 -34175 32267 -30058 -7008 49504 8888 -5171 -45579 7949 -4008 -61216 16598 -64644 -10321 20086 43107 -25125
r38 -45030 -31556 43073 -39359 38774 8985 -39876 16828 -21766 32048 42547 31259 36338 -31605 63066 -30212 3102 -57935 -24503 49273
r39 -63251 20773 -38673 28274 -25195 -11810 39354 -53350 -20161 -38940 -4659 50662 8062 50954 61798 -27357 -7227 -3631 -56315 -58055
r40 52781 58287 -42759 12970 34424 51766 14766 -32023 42734 -40089 9714 20927 567 -35290 -60506 -52083 -60325 -44125 -39363 58057
r41 -12530 -36231 9042 -22882 -32833 64917 -28626 -14156 57878 -33819 -28935 58771 889 50014 49877 -25216 -54434 31988 3244 -52622
r42 23574 34725 21905 36865 59831 34239 30227 -44410 -59051 -62290 -53184 -42624 18564 41382 -59907 -46030 -42806 -15575 -3056 36818
r43 49579 -27667 -53481 25650 13487 -17009 -15886 -45106 8665 2761 34136 -3042 -55595 53790 -56548 -25539 -64158 16423 25122 9572
r44 27461 -61814 -63413 -27186 31392 -20973 -39524 -37045 10924 -31099 -47872 -43657 -6215 26533 52490 18246 -40533 -33002 -48537 -60634
r45 -11627 -56143 13180 24858 23333 15114 -8918 65222 58301 52933 -22163 -62067 31521 16246 -626 -1236 -37153 34890 -11336 -30810
r46 53297 -50502 -11041 38325 23821 -2141 16791 19531 -49534 34412 -35952 -32492 -9897 61375 -14712 33680 56857 -31565 56923 -60336
r47 -26836 -27138 -13444 -18672 24213 -56089 -32236 29503 56627 -9460 22194 29918 50579 -2887 -5037 -45191 -39089 32989 10974 -20140
r48 64337 -58219 58359 -28792 21245 58913 48124 61310 -13937 -958 -48430 -40381 54831 -29174 58895 -28704 -34291 -16005 -10442 29272
r49 -5968 47752 -47685 30160 -59003 32646 -50768 -64645 -41418 42197 -4344 16933 13108 -11294 -8662 -3471 -985 -54764 -31357 -39473
r50 37118 -40217 -15943 38537 -32533 -29267 33556 10159 43126 40628 -63444 19248 -15621 58970 50519 -26892 -17952 -21216 48252 -61058
r51 -15184 22145 -28294 52603 -16034 33865 -39789 43637 34927 -49522 35849 -38932 47098 -48047 2192 1611 -37537 32493 -19885 32633
r52 14150 63481 -28799 42454 -49543 -60158 5072 29268 -4722 -40952 4010 -48470 -33202 13804 64445 -48083 -56630 -61344 -1973 59826
r53 15706 29667 -16462 -62187 47297 -45691 -20625 -47318 -43543 45267 -48739 -33373 65513 34119 37829 -47694 -24250 63709 -24227 47522
r54 5369 54034 11875 41623 32301 -52240 56892 -23296 56946 -42898 57598 -8687 -60638 -43406 27311 -25987 -49546 18909 49348 39749
r55 -17603 2792 -26839 530 -999 39999 -44166 -13907 -48949 -22429 47302 59640 -9941 23213 51923 23332 -31102 -40237 -23016 23535
r56 41745 33086 -8276 -48479 -15054 -45335 -49257 45517 11530 -31230 -50776 -15818 33037 16365 -11581 50723 -32442 61713 58348 39792
r57 -60600 -40439 12745 -25919 -54356 47936 35910 -25473 -3955 15995 45436 18170 -39123 -48528 -1563 976 -28169 -42345 52966 12942
r58 19216 20884 -50019 23525 -59753 19974 37488 6059 -30895 34348 58995 -13652 32347 23781 -33035 -61769 50105 -64786 36074 50189
r59 64807 38973 -13552 20978 22049 -10706 -21982 -36280 -48208 61571 53519 -44037 64869 -62150 -10499 33872 22064 40761 4406 -22689
r60 15621 -13924 -19826 -49386 -64823 -27382 -12728 -8358 -17077 17810 -45949 4460 64853 36575 56320 58458 -20032 601 -19281 43320
r61 -12836 -52720 -33290 36463 8984 8133 65020 52589 -48977 -42072 41030 -31597 22993 60039 26242 -25573 -48193 -11021 -58754 -31643
r62 18375 11332 -59486 7639 13650 60497 -16709 39435 -10469 16479 302 -33712 -18896 -16159 29324 61839 -49435 -60491 -61586 -1898
r63 -34048 -11760 -57009 -20963 40664 50764 -40010 15677 -36431 -6134 -60687 -41042 -21433 -49657 -60702 -10226 42612 30353 -28693 -51736
r64 57184 47883 11588 5338 -5109 -46674 21915 44102 35118 21160 14557 37002 -29266 -20054 -59437 -59786 55697 23939 -33394 60157
r65 -20308 -14124 40996 -58518 -654 59736 -49852 9102 -48348 -59409 56865 9003 -55949 -54305 64652 -14955 596 -8993 -35432 -10679
r66 64934 48198 28322 -55520 10872 -22988 62488 -43888 -14632 47839 -42668 -42101 26568 15061 -40981 8283 -4205 42559 -62014 31838
r67 24164 -57553 -41982 -19422 -40964 19698 14094 -57784 -33793 -63761 -20206 -62370 25881 -34690 36834 -45484 55147 -2064 32307 -7948
r68 8101 -25320 57740 57282 -29592 11998 -35196 -6009 46988 55751 -2431 52211 -49525 -12288 56230 23241 -45160 11205 -5944 -28633
r69 -36601 23498 877 -46956 -47623 -51833 49410 44741 57072 -58334 -58506 -12373 11994 31792 34454 -38521 -23088 45578 -14422 -44436
r70 62940 -25116 -54039 -56414 -1178 28320 44439 31000 47567 -29250 3078 -36436 -35810 15300 37895 8297 13854 40896 35820 30946
r71 6205 54910 13143 8378 -3630 32084 -2969 -3443 7885 44607 15745 -5969 64646 -63958 61388 -538 44890 -38002 -40228 888
r72 -54755 36503 4964 24611 47937 -6277 -44790 45915 40967 52039 -4872 15274 33047 -49373 -27615 53838 60304 -50636 6167 -8014
r73 431 -63289 65491 5454 4026 23762 -6164 29402 16253 -38604 47585 52388 13870 31658 -10749 -12735 -55786 -44265 -19617 58707
