fTable4 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 41791 -34473 -19320 -61895 -19794 63765 -17521 23691 57377 -55192 13578 8418 26593 -49803 51645 -44957 39746 -4578 -31157 27811
r1 -32793 -10665 -23904 51022 -36068 43703 15167 -65271 -36347 30813 -59235 11789 -28470 35257 -4429 -36610 -22346 49233 -21125 -58292
r2 22590 2649 35963 -3437 -39482 -30266 -62973 27753 -50835 -2953 -57776 34351 -31573 7753 -39682 31682 7288 58411 -51854 11963
r3 61065 -12102 -486 56007 -63919 -8570 -32885 23843 12250 60843 37160 -11516 -12842 33291 65103 47832 -8171 -64055 24138 16483
r4 3228 24240 43974 30644 -23810 14429 55955 -34640 52849 -30537 27865 11334 41609 -18341 25858 41556 -6601 -9250 -53494 -61119
r5 6900 -54496 -61447 42822 -27719 20374 -14331 29691 -45087 64202 -6738 -14098 63510 -15322 -60052 -15117 51145 34305 38088 -15270
r6 -24136 -35177 -46673 -10197 35299 -12073 -49829 -28767 3261 30806 -20629 24313 -3673 52431 46730 42815 -5449 19222 7625 -58796
r7 -33233 -45457 59380 18891 -54602 42408 12740 -45528 -8653 52875 -13833 13848 -35344 41562 -30842 6674 5983 30618 -31043 23488
r8 10726 18185 -38205 -52381 21198 -39072 -2759 -4937 37980 49312 62336 667 -17605 -56461 54452 57650 50730 -4470 -30592 -28526
r9 -43051 -63160 5332 28314 49263 -17328 -54409 54360 28466 -29722 46205 -17115 -48581 -40992 -8648 22101 38252 8513 -11328 52291
r10 49234 -2920 -60867 156 -25065 -38143 51890 -15152 51437 -12497 52149 -41004 37144 27826 52840 -53896 8651 -14272 -56332 36261
r11 -15160 -31129 -35530 -54499 -5490 -58921 -43340 -26523 11243 60820 -10881 46828 -13906 -2182 60169 -57653 18742 11523 1574 -5104
r12 51332 -57144 14601 25802 -22577 -8361 56458 55208 -35554 30470 -64344 -33650 -40845 5834 -8025 -48282 -20350 -11889 -19462 -36128
r13 18831 -22798 -52859 -57061 -40421 21709 -56147 39092 -63258 37957 50813 -43383 -3311 -8133 -26839 -37743 35608 -60382 -61360 65046
r14 -2877 -12121 65219 -60625 -47967 -30712 -50160 41866 26758 50435 28611 58511 -30312 1069 -38205 -52695 38025 25561 -18033 -57127
r15 -23375 -19243 25715 40355 45925 -31855 54855 -27186 23409 44866 -14169 31971 20435 -3343 33967 38276 -58750 58139 -63342 -55035
r16 -9714 -23938 61261 -8910 16608 20105 21374 25328 -33756 20970 6229 -38824 4472 36062 10398 -32890 45937 -16403 14053 38531
r17 -10247 55366 -3246 14508 -41812 -1369 56277 52184 36531 -52966 55823 50883 -34235 37302 -1760 17667 10987 -57880 4814 -17048
r18 -7924 -3085 -42272 63849 13411 -30079 49410 -30765 59393 -60397 56173 39681 -6637 39318 49684 53842 -40755 6369 31696 -57946
r19 24714 -56716 -56037 -54795 32294 -24497 -17128 -12199 52489 19785 20450 65342 -29788 9770 23275 -45429 -38182 16566 26105 -7331
