mTable33 21
KEY  c0 c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19
r0 12918 36412 -10489 -27524 63130 17398 -55434 -5237 3395 30992 59750 -46312 20274 -4260 15051 18391 -31559 17922 -65151 -51823
r1 35192 47933 -61604 18754 20271 -33988 6557 -20156 42407 -26563 -5204 23554 10495 -63728 -25746 -5458 -44914 2783 -9876 -18883
r2 39720 -49680 4871 -60917 -19004 7031 46130 -19408 24155 -60292 46992 3340 -29203 26310 -4521 -13560 -29235 6254 31752 4945
r3 12361 -19304 -48929 23902 -23756 6582 -63304 -12146 21749 46982 -17028 1372 -52389 45199 37164 56964 -1844 17863 30718 27930
r4 11102 -53721 -5082 21879 -41898 -65495 -5718 -22554 -43385 -34201 17246 11528 21162 15824 685 53376 15004 -61792 17352 62639
r5 -1670 -59926 16608 58884 37676 3837 -5628 23406 -51875 -7127 5467 -62280 -26770 29479 53055 -37667 -46904 -39908 -3279 -36611
r6 -19939 -57436 63617 57361 52928 -45263 53728 -17259 -44706 -8167 4775 37600 -11113 -47631 -2133 51601 -36504 -38754 -34598 30773
r7 62198 -47032 30851 -31351 50068 62868 59633 -35936 -12607 51148 -24370 18564 -27746 35982 -21181 37136 -18387 -16295 6217 -3669
r8 -41786 -37170 59637 -55875 -43587 12598 37904 62773 -39376 61032 -43895 -29649 -44234 -3254 21992 -3484 22743 57999 61605 57623
r9 10293 14822 52872 41921 -692 34888 -48042 -65469 -27451 -16638 -6919 57310 -59112 -10767 4398 1083 23392 60834 39566 57302
r10 1911 -38261 -51506 63895 32352 11680 58587 3684 1672 -11791 -18563 -556 51662 10889 43858 21988 11485 22010 47236 -41188
r11 56820 -15005 30206 28639 -26550 -34600 -46466 -16837 -63927 -31108 -46170 58136 -33645 748 37254 -38174 -15176 -45572 -29941 -22379
r12 -47877 30059 -33555 -16501 -42932 -39564 568 2644 44657 -58360 42439 47256 -56653 -44252 7331 -48441 -25462 -23605 -7115 -57663
r13 -5654 54320 49508 -36457 -39767 -23071 -10761 27000 4794 -7687 35744 17005 -11774 -58946 -34687 34246 -49142 59538 -32665 55444
r14 -23244 -22407 65265 11315 52395 4454 -54325 53667 -4893 -45519 -15182 -26976 -30966 -15534 -1352 13546 -58854 28820 -17786 -47154
r15 -37170 36890 -10058 45704 42049 58303 28120 -25742 49491 -31963 18119 -44591 42807 44832 14898 -48345 -25704 10532 53620 29802
r16 -36025 -41108 45731 -27413 53023 -32918 -60295 -5331 -47874 -60972 54911 57386 56093 33942 -18267 51170 18527 -48740 59125 62250
r17 -28844 -25032 -27580 -1082 -17454 -30161 -18208 6374 -56581 -39440 6659 -62592 61625 -42633 -20956 35054 30385 -50194 46775 -6162
r18 -17505 -47843 -47772 31142 -18195 -61298 17357 -60148 -63842 32518 33247 37827 56826 2109 56045 -35871 -22377 18769 60174 -16807
r19 -41629 -8708 55712 34898 -29491 52738 -43039 -15542 6517 43448 -32356 4954 -50164 -42552 21648 -14760 44804 12966 40320 5659
r20 -61366 65219 -13026 38006 54243 -17771 -60706 -9913 10119 -63435 -19354 -52751 -19374 26917 -15299 2394 62203 36061 37513 37421
r21 3435 56141 -1274 62424 -42515 49560 -23776 17272 -36330 63435 -342 4274 63899 -44868 -11941 -23026 18771 4421 -40825 29910
r22 28451 38032 -56841 -44155 -10608 -47546 602 -56409 30256 -30087 18067 22134 46844 57155 5763 -40707 -54246 46556 45319 58117
r23 -17824 -58747 12146 -30986 -19123 29948 -62008 -26772 22592 -46449 21846 -62947 9968 18076 -37267 -38875 -1310 -32211 2827 10845
r24 9589 33335 22560 -868 -50001 65028 40194 10295 -57877 148 -10838 17822 -35293 -50373 19279 -11132 12102 -31789 -61594 -56503
r25 9329 10923 -61326 -34009 -49921 -12262 -6464 43552 51355 -29624 -61697 6326 61179 18402 1832 -46851 58968 -30545 -22053 7924
r26 -51714 -45015 26519 48712 64868 50752 20 -42051 33131 26199 49001 -14026 24112 -43415 12789 9797 -64503 -5330 -42168 57047
r27 -53325 9416 -60644 -56532 17750 25029 -15440 -27645 15219 -31823 43995 3022 52343 21444 17003 63453 33160 19632 51541 -4107
r28 -3330 24501 619 37643 -54933 40915 56840 3135 -36913 -57486 9706 34187 54836 -51361 20747 -50642 44454 37818 -9496 54767
r29 -46148 -64167 -59190 46701 -47065 58746 59725 50515 65386 -1581 10857 52918 34147 51049 -50294 -41254 -6722 -15870 -22994 -28762
r30 4208 42079 -40474 -49494 -11516 20772 -7269 27874 -52471 14583 -35079 8171 -36853 10977 -53066 -43267 -41979 -29637 -55238 31332
r31 59555 57209 -16995 10552 -51650 49888 -57371 -34285 -35119 -59861 -16067 49901 51377 55210 52849 52345 20013 -55457 24659 14289
r32 48223 -21246 23125 44697 31919 -15454 47996 46924 -53501 59934 -55933 -21017 57301 -9762 28156 11755 29219 60381 27409 -36478
r33 60830 15473 17707 -20662 64042 34801 -3603 -14540 -3720 55047 22220 7041 64950 -56380 -14968 22004 -14319 33958 -9699 -24881
r34 -25071 19569 -54491 -12040 -60994 -19412 -6264 -65115 4537 8972 18047 -50629 36681 -8464 12410 6973 -35831 34253 62750 63926
r35 -36324 -24652 -48417 -54275 -27472 -3961 37126 52871 -44768 13297 -6675 -25916 29684 64743 24418 59226 27152 43856 63252 39822
r36 -3182 12941 45405 5691 56607 -57590 36695 -12326 30953 -61055 1678 -15222 17153 -501 39470 -21244 20938 18080 20625 34455
r37 -28560 -58770 -47602 13364 -32862 47471 5668 -7727 -36865 12699 -47184 -65306 -33871 16955 3125 42196 -6228 5967 5131 23993
r38 18193 33860 -27225 27731 -53352 31649 -45308 -29793 12656 56192 -61232 -55626 -24956 -49189 34354 56980 53208 -4069 43731 37072
r39 551 -22787 62191 -63729 43303 21667 -1291 7560 36895 -27352 21203 35963 -60371 -33433 19456 -7526 -55244 -37910 -26317 -43125
r40 12278 31146 27535 4846 -58375 41711 -9942 8987 -20597 -47772 47174 -56449 46702 -2992 -45564 8881 33037 -14007 -15438 39087
r41 35243 62822 9173 -65294 10721 5794 -31312 -54328 64653 -2795 -29823 31982 -28744 -41826 49962 -61317 -8447 46517 -44112 41600
r42 -23923 -54286 -61480 -48972 28870 -64746 -54217 21782 -4151 63006 -18546 -55581 -48369 -47010 -23000 52264 -1405 9642 -6331 56774
r43 -48100 -32952 57191 29800 -41871 64230 35484 55942 38622 5577 39165 -41980 -52226 13630 -1885 58480 50330 18332 -31250 -27530
r44 62432 -28249 25099 765 39128 -18988 25253 -64845 3635 24180 9859 -60787 -64338 40762 -17552 40494 -24210 -27070 42840 29191
r45 -30527 44721 -28638 36769 -60573 1650 42915 21742 17428 38249 14443 48907 -1550 -40363 -2052 58354 -14718 43939 34180 -55950
r46 -50764 35872 54175 36055 61703 43770 22851 -13762 -32935 -1017 51373 -31358 -60646 23172 -56050 6559 -27242 28992 29078 -26139
r47 -62224 -58499 -14972 45524 36471 -48720 -1316 45427 16584 11033 -12583 -59373 -51002 -26905 60874 -7661 -24828 -13763 -25256 9165
r48 58755 -63438 39785 -23210 -55432 -40268 47763 64141 -48637 21793 17272 57306 45041 -47655 60180 -29536 63688 -23278 -38179 7803
r49 -6007 -54646 61024 38952 28849 42755 60075 9859 59800 -18698 41325 57415 -25580 -11880 38458 -47935 31733 -2484 20296 41996
r50 -60360 36354 56812 1485 13145 -64524 -26484 52027 -53694 -47235 -43949 8500 16350 42317 55647 -50325 21063 10243 7270 41705
r51 -11066 33124 -15509 -29843 -26658 -61078 26540 44179 -62048 33757 -62244 59192 40024 -53176 -36750 44945 54364 5538 37313 -34674
r52 -50443 38274 4621 460 -27074 -22873 -48879 -8037 37180 27847 -54083 38980 42873 3074 -63857 -13373 53746 16236 15717 61678
r53 -61361 30375 24493 53595 47425 -11826 -846 867 5219 -62864 43169 -39604 -1020 -44529 18553 -46870 -60830 18121 1857 -33096
r54 50855 -41330 -45067 1178 43778 -49543 -4365 -48344 -63011 -56654 29376 -59695 -21833 24986 -33477 36865 -49994 2075 -49497 14111
r55 -34215 -14900 1540 -54083 27158 9494 62348 48303 -7373 4422 -42907 14306 -7705 1187 -54511 -37452 60496 6396 2871 14402
